reg_condition	comparator	feature	n_subjects	mean_diff	sd	se	t	p	q_all_features_within_condition_comparator
up	nearest_passive	sensory_dACC_MCC	32	162.77024773050925	482.23627062631783	85.2481342734951	1.9093702063708027	0.06550743862171848	0.6987460119649972
up	nearest_passive	reg_NAc_L	32	-150.61582893293937	520.0673069851559	91.93577986065742	-1.6382721630383776	0.11147683303500307	0.7475922877859634
up	nearest_passive	expl_hippocampus_L	32	165.7585183598702	597.5480604635816	105.63257140966691	1.5691989331304008	0.12675384523851305	0.7475922877859634
up	nearest_passive	sensory_S1_R	32	192.26190364261782	772.710797553126	136.5972612114702	1.4075092131237648	0.16922507381753718	0.7475922877859634
up	nearest_passive	sensory_S1_L	32	161.9269176309466	666.8631577882562	117.88586524888764	1.3735906106222053	0.17942154889026474	0.7475922877859634
up	nearest_passive	sensory_thalamus_R	32	-108.49814315758216	459.0385143995823	81.14731158943582	-1.3370516044515146	0.19093511730307908	0.7475922877859634
up	nearest_passive	expl_amygdala_R	32	150.8920091276729	737.3274609905131	130.34231190536286	1.1576594501195474	0.2558450241845937	0.7475922877859634
up	nearest_passive	reg_dlPFC_IFJ_R	32	-94.04897795542715	499.24343942245497	88.25460536962831	-1.0656551866220558	0.2948094306418374	0.7475922877859634
up	nearest_passive	reg_caudate_L	32	-101.25516670050573	540.8065930605713	95.60200231588091	-1.0591322801581713	0.29772269885423924	0.7475922877859634
up	nearest_passive	expl_amygdala_L	32	141.28286078638442	757.893649908746	133.97793481717437	1.0545233510217804	0.29979327316708865	0.7475922877859634
up	nearest_passive	sensory_S2_operculum_R	32	142.4628877228463	790.9968525515552	139.82980958410508	1.0188305923220002	0.3161692512424843	0.7475922877859634
up	nearest_passive	reg_putamen_R	32	125.46052525931901	712.7269454336409	125.99351406262548	0.9957697123754994	0.327071625906359	0.7475922877859634
up	nearest_passive	reg_NAc_R	32	-131.63031405125284	814.2170102030898	143.9345923180103	-0.9145147940560927	0.36750525204091955	0.7840112043539617
up	nearest_passive	expl_hippocampus_R	32	87.99614515424244	617.0252916465222	109.07569197171576	0.8067438634912404	0.4259604261485064	0.8519208522970128
